,Unnamed: 0,num_conta,cod_cliente,cod_agencia,cod_colaborador,tipo_conta,data_abertura,saldo_total,saldo_disponivel,data_ultimo_lancamento,tipo_agencia,estado
0,0,53,53,1,7,PF,2011-05-24 15:30:00 UTC,2984.7615,2814.67,2019-07-02 11:03:46 UTC,Agencia Fisica,AL
1,1,190,190,1,7,PF,2014-10-17 14:48:00 UTC,4262.4322,4191.860000000001,2021-03-25 12:00:15 UTC,Agencia Fisica,AL
2,2,191,191,1,7,PF,2013-03-23 14:14:00 UTC,3266.567999999999,3080.7099999999987,2016-09-09 23:34:15 UTC,Agencia Fisica,MT
3,3,203,203,1,7,PF,2016-08-03 16:13:00 UTC,21241.542400000013,19461.56000000001,2022-12-28 07:58:24 UTC,Agencia Fisica,PA
4,4,254,254,1,7,PF,2012-10-24 13:48:00 UTC,13335.696599999996,13197.539999999995,2013-12-20 22:20:00 UTC,Agencia Fisica,MA
5,5,306,306,1,7,PF,2012-05-23 12:11:00 UTC,22997.473800000003,21677.880000000005,2016-10-05 03:14:36 UTC,Agencia Fisica,CE
6,6,472,472,1,7,PF,2022-08-07 12:08:00 UTC,4178.4237,4183.68,2022-12-30 00:00:00.67516 UTC,Agencia Fisica,BA
7,7,520,520,1,7,PF,2019-11-03 16:26:00 UTC,1809.8087000000016,1288.5100000000016,2022-12-29 23:59:59.753932 UTC,Agencia Fisica,RJ
8,8,739,739,1,7,PF,2014-02-26 12:20:00 UTC,45.769100000000265,616.7900000000002,2022-12-29 23:59:59.789361 UTC,Agencia Fisica,CE
9,9,509,509,1,13,PF,2012-01-20 11:56:00 UTC,19159.7952,19863.759999999995,2016-06-09 22:25:04 UTC,Agencia Fisica,RS
10,10,688,688,1,13,PF,2017-12-05 11:03:00 UTC,61105.5635,55917.15,2022-09-24 13:18:37 UTC,Agencia Fisica,RS
11,11,775,775,1,13,PF,2011-03-19 14:55:00 UTC,39008.684,35288.34,2021-06-25 14:12:03 UTC,Agencia Fisica,MG
12,12,920,920,1,13,PF,2021-01-22 13:48:00 UTC,2023.5779999999968,2511.2999999999965,2022-12-29 23:59:59.953426 UTC,Agencia Fisica,SC
13,13,954,954,1,13,PF,2012-04-15 10:23:00 UTC,35545.032199999994,34545.61999999999,2020-03-22 02:59:42 UTC,Agencia Fisica,ES
14,14,955,955,1,13,PF,2020-03-28 14:02:00 UTC,79502.06880000004,80952.72000000003,2022-06-04 07:26:23 UTC,Agencia Fisica,PB
15,15,170,170,1,14,PF,2022-12-15 16:01:00 UTC,926.7056000000008,335.3800000000008,2023-01-11 09:04:20.2749 UTC,Agencia Fisica,AM
16,16,218,218,1,14,PF,2019-10-01 16:05:00 UTC,180027.69259999998,168407.87999999998,2022-09-09 10:51:55 UTC,Agencia Fisica,SC
17,17,555,555,1,14,PF,2012-08-24 12:57:00 UTC,52691.5446,54240.69,2019-04-01 21:41:58 UTC,Agencia Fisica,TO
18,18,741,741,1,14,PF,2012-03-03 14:17:00 UTC,91849.87459999992,83480.03999999992,2020-11-17 22:35:58 UTC,Agencia Fisica,SC
19,19,751,751,1,14,PF,2012-01-13 12:29:00 UTC,59.75030000000001,44.86000000000001,2022-07-17 17:25:28 UTC,Agencia Fisica,RS
20,20,953,953,1,14,PF,2015-06-11 15:05:00 UTC,1866.7326,1827.75,2022-12-29 23:59:59.106764 UTC,Agencia Fisica,TO
21,21,108,108,1,23,PF,2017-04-13 12:21:00 UTC,1171.4528000000034,812.5600000000035,2022-12-29 23:59:59.646511 UTC,Agencia Fisica,MT
22,22,110,110,1,23,PF,2020-06-19 16:06:00 UTC,11059.761600000003,10208.050000000005,2022-12-30 00:00:00.199407 UTC,Agencia Fisica,MG
23,23,242,242,1,23,PF,2010-05-06 14:03:00 UTC,165102.06389999992,163409.6799999999,2019-08-09 23:42:11 UTC,Agencia Fisica,MT
24,25,844,844,1,23,PF,2022-09-19 12:48:00 UTC,20803.9404,20373.14,2022-12-29 23:59:59.639046 UTC,Agencia Fisica,ES
25,26,888,888,1,23,PF,2016-04-13 11:01:00 UTC,91067.67659999996,87609.81999999996,2021-05-22 22:18:09 UTC,Agencia Fisica,MS
26,27,171,171,1,24,PF,2022-03-04 16:24:00 UTC,68520.05990000001,66507.14,2022-12-30 00:00:00.7855 UTC,Agencia Fisica,AM
27,28,291,291,1,24,PF,2012-02-26 12:34:00 UTC,40641.12359999999,41016.19999999999,2022-12-08 08:47:13 UTC,Agencia Fisica,DF
28,29,481,481,1,24,PF,2020-04-14 16:19:00 UTC,86.27849999999992,74.5299999999999,2022-11-20 16:50:25 UTC,Agencia Fisica,PR
29,30,564,564,1,24,PF,2015-05-20 11:34:00 UTC,20584.694199999987,19955.29999999999,2017-07-18 11:54:24 UTC,Agencia Fisica,RS
30,31,584,584,1,24,PF,2014-11-07 11:59:00 UTC,1658.1686000000025,1592.7000000000023,2019-08-27 12:10:09 UTC,Agencia Fisica,GO
31,32,635,635,1,24,PF,2022-09-12 15:38:00 UTC,1534.556500000012,1252.5500000000109,2022-12-30 00:00:00.33746 UTC,Agencia Fisica,PA
32,33,116,116,1,30,PF,2014-10-17 13:19:00 UTC,20992.1828,20458.98,2022-08-12 12:32:52 UTC,Agencia Fisica,PB
33,34,153,153,1,30,PF,2014-09-12 16:45:00 UTC,14581.898099999991,14679.189999999991,2019-05-05 14:56:38 UTC,Agencia Fisica,DF
34,35,176,176,1,30,PF,2019-04-20 14:06:00 UTC,14244.926599999995,12934.409999999996,2020-12-19 13:15:50 UTC,Agencia Fisica,PI
35,36,199,199,1,30,PF,2019-01-10 12:24:00 UTC,92338.31459999998,94200.58,2022-12-29 23:37:56 UTC,Agencia Fisica,MS
36,37,207,207,1,30,PF,2022-06-24 16:07:00 UTC,13029.244800000006,52.13000000000648,2022-12-30 00:00:00.621813 UTC,Agencia Fisica,RJ
37,38,275,275,1,30,PF,2020-05-02 12:18:00 UTC,51431.9484,52418.23999999999,2022-12-30 00:00:00.087069 UTC,Agencia Fisica,RJ
38,39,361,361,1,30,PF,2018-01-08 14:30:00 UTC,16828.82879999998,17483.73999999998,2022-09-28 23:25:00 UTC,Agencia Fisica,PE
39,40,701,701,1,30,PF,2013-02-24 10:46:00 UTC,53.499700000001695,37.57000000000168,2020-03-30 08:05:11 UTC,Agencia Fisica,MA
40,41,808,808,1,30,PF,2013-08-08 14:43:00 UTC,33978.82949999999,32308.15,2022-04-21 18:11:48 UTC,Agencia Fisica,DF
41,42,910,910,1,30,PF,2011-11-03 16:42:00 UTC,38140.17900000001,38894.44000000001,2018-11-01 23:32:33 UTC,Agencia Fisica,MS
42,43,290,290,1,31,PF,2016-02-19 12:30:00 UTC,10809.2902,8075.479999999999,2022-12-29 23:59:59.668206 UTC,Agencia Fisica,AP
43,44,451,451,1,31,PF,2011-08-25 11:33:00 UTC,14880.729600000004,15408.800000000008,2013-08-31 23:35:07 UTC,Agencia Fisica,MT
44,45,557,557,1,31,PF,2017-12-09 12:29:00 UTC,2841.3440000000005,2543.8200000000006,2022-12-29 23:56:57 UTC,Agencia Fisica,AM
45,46,617,617,1,31,PF,2016-02-17 11:37:00 UTC,28163.41999999999,28107.83999999999,2017-10-26 19:24:41 UTC,Agencia Fisica,CE
46,47,632,632,1,31,PF,2017-07-25 16:41:00 UTC,15022.800599999991,14852.299999999992,2022-12-29 23:59:59.732522 UTC,Agencia Fisica,CE
47,48,740,740,1,31,PF,2019-11-12 12:14:00 UTC,788.5975999999996,697.9799999999996,2022-12-29 23:50:54 UTC,Agencia Fisica,PB
